date,value
2022-05-15,0.0
2022-05-16,0.0
2022-05-17,0.036071509494506375
2022-05-18,0.0
2022-05-19,0.0
2022-05-20,0.05410726424175956
2022-05-21,0.0
2022-05-22,0.0
2022-05-23,0.05410726424175956
2022-05-24,0.0
2022-05-25,0.036071509494506375
2022-05-26,0.036071509494506375
2022-05-27,0.036071509494506375
2022-05-28,0.0
2022-05-29,0.0
2022-05-30,0.0
2022-05-31,0.0
2022-06-01,0.0
2022-06-02,0.0
2022-06-03,0.0
2022-06-04,0.0
2022-06-05,0.0
2022-06-06,0.0
2022-06-07,0.0
2022-06-08,0.0
2022-06-09,0.0
2022-06-10,0.0
2022-06-11,0.0
2022-06-12,0.0
2022-06-13,0.0
2022-06-14,0.0
2022-06-15,0.0
2022-06-16,0.0
2022-06-17,0.0
2022-06-18,0.0
2022-06-19,0.0
2022-06-20,0.0
2022-06-21,0.0
2022-06-22,0.05410726424175956
2022-06-23,0.036071509494506375
2022-06-24,0.0
2022-06-25,0.0
2022-06-26,0.0
2022-06-27,0.0
2022-06-28,0.036071509494506375
2022-06-29,0.0
2022-06-30,0.0
2022-07-01,0.036071509494506375
2022-07-02,0.0
2022-07-03,0.0
2022-07-04,0.036071509494506375
2022-07-05,0.036071509494506375
2022-07-06,0.0
2022-07-07,0.0
2022-07-08,0.036071509494506375
2022-07-09,0.036071509494506375
2022-07-10,0.05410726424175956
2022-07-11,0.0
2022-07-12,0.036071509494506375
2022-07-13,0.0
2022-07-14,0.036071509494506375
2022-07-15,0.05410726424175956
2022-07-16,0.0
2022-07-17,0.0
2022-07-18,0.036071509494506375
2022-07-19,0.036071509494506375
2022-07-20,0.05410726424175956
2022-07-21,0.036071509494506375
2022-07-22,0.036071509494506375
2022-07-23,0.0
2022-07-24,0.0
2022-07-25,0.036071509494506375
2022-07-26,0.05410726424175956
2022-07-27,0.05410726424175956
2022-07-28,0.036071509494506375
2022-07-29,0.0
2022-07-30,0.05410726424175956
2022-07-31,0.0
2022-08-01,0.0
2022-08-02,0.0
2022-08-03,0.05410726424175956
2022-08-04,0.036071509494506375
2022-08-05,0.036071509494506375
2022-08-06,0.0
2022-08-07,0.05410726424175956
2022-08-08,0.036071509494506375
2022-08-09,0.05410726424175956
2022-08-10,0.07214301898901275
2022-08-11,0.07214301898901275
2022-08-12,0.05410726424175956
2022-08-13,0.0
2022-08-14,0.0
2022-08-15,0.10821452848351912
2022-08-16,0.09017877373626594
2022-08-17,0.09017877373626594
2022-08-18,0.07214301898901275
2022-08-19,0.07214301898901275
2022-08-20,0.036071509494506375
2022-08-21,0.036071509494506375
2022-08-22,0.09017877373626594
2022-08-23,0.09017877373626594
2022-08-24,0.05410726424175956
2022-08-25,0.10821452848351912
2022-08-26,0.09017877373626594
2022-08-27,0.05410726424175956
2022-08-28,0.07214301898901275
2022-08-29,0.10821452848351912
2022-08-30,0.1442860379780255
2022-08-31,0.1442860379780255
2022-09-01,0.18035754747253188
2022-09-02,0.1623217927252787
2022-09-03,0.1442860379780255
2022-09-04,0.1442860379780255
2022-09-05,0.21642905696703824
2022-09-06,0.19839330221978507
2022-09-07,0.288572075956051
2022-09-08,0.21642905696703824
2022-09-09,0.19839330221978507
2022-09-10,0.1623217927252787
2022-09-11,0.1623217927252787
2022-09-12,0.34267934019781054
2022-09-13,0.39678660443957015
2022-09-14,0.378750849692317
2022-09-15,0.486965378175836
2022-09-16,0.43285811393407647
2022-09-17,0.39678660443957015
2022-09-18,0.2525005664615446
2022-09-19,0.21642905696703824
2022-09-20,0.5591083971648487
2022-09-21,0.8116089636263935
2022-09-22,0.6853586803956211
2022-09-23,0.6673229256483679
2022-09-24,0.45089386868132975
2022-09-25,0.45089386868132975
2022-09-26,0.6673229256483679
2022-09-27,0.6673229256483679
2022-09-28,1.803575474725319
2022-09-29,1.046073775340685
2022-09-30,0.8476804731208998
2022-10-01,0.7214301898901275
2022-10-02,0.5951799066593553
2022-10-03,0.8296447183736465
2022-10-04,0.8657162278681529
2022-10-05,0.8296447183736465
2022-10-06,0.8116089636263935
2022-10-07,0.8837519826154062
2022-10-08,0.7033944351428743
2022-10-09,0.6673229256483679
2022-10-10,0.8476804731208998
2022-10-11,0.8296447183736465
2022-10-12,0.7935732088791403
2022-10-13,1.064109530087938
2022-10-14,1.2083955680659635
2022-10-15,0.9017877373626595
2022-10-16,0.6492871709011148
2022-10-17,0.8837519826154062
2022-10-18,0.8296447183736465
2022-10-19,0.6853586803956211
2022-10-20,0.7214301898901275
2022-10-21,0.757501699384634
2022-10-22,0.6312514161538615
2022-10-23,0.5591083971648487
2022-10-24,0.7935732088791403
2022-10-25,0.6312514161538615
2022-10-26,0.6673229256483679
2022-10-27,0.6312514161538615
2022-10-28,0.6312514161538615
2022-10-29,0.5050011329230892
2022-10-30,0.36071509494506376
2022-10-31,0.5591083971648487
2022-11-01,0.5591083971648487
2022-11-02,0.5410726424175957
2022-11-03,0.486965378175836
2022-11-04,0.5230368876703425
2022-11-05,0.34267934019781054
2022-11-06,0.3246435854505574
2022-11-07,0.45089386868132975
2022-11-08,0.5230368876703425
2022-11-09,0.5230368876703425
2022-11-10,0.486965378175836
2022-11-11,0.43285811393407647
2022-11-12,0.3246435854505574
2022-11-13,0.288572075956051
2022-11-14,0.2948663418535502
2022-11-15,0.26863564689427344
2022-11-16,0.28233634724619916
2022-11-17,0.2674649411496986
2022-11-18,0.23221636881679517
2022-11-19,0.18209639038739114
2022-11-20,0.1354885291917115
2022-11-21,0.2948663418535502
2022-11-22,0.28233634724619916
