overlap_days,monthly_mae,weekly_mae,alpha_mean,alpha_std,alpha_cv,converged,iterations
30,2.6485557516601292,0.3061242669039296,0.16047791626716532,0.11863464423020634,0.7392583789080495,True,6
60,2.64909311429209,0.30621861096877845,0.1604615647449328,0.11871309501708863,0.7398226186176927,True,6
90,2.649192891380345,0.3062362830640826,0.16045852871033184,0.11872766395064561,0.7399274124280363,True,6
133,2.649236187639497,0.3062439956662209,0.16045721129433713,0.1187339860653912,0.7399728881464213,True,6
