Method,Train NMAE,Test NMAE,NMAE Gap,Train MAE,Test MAE,MAE Gap,Gap %,Status
baseline,0.7796925923061332,0.5660330618723908,-0.21365953043374242,0.7396770035645777,1.0326088009635639,0.2929317973989862,-27.403047373041165,✓ Good
hierarchical,0.36615490284268887,0.2530267468648403,-0.11312815597784859,0.3473630044042022,0.46159431893877184,0.11423131453456964,-30.896255956035045,✓ Good
hierarchical_dow,0.3974257858146266,0.2635313464059192,-0.13389443940870743,0.37702899487756014,0.4807577612663886,0.10372876638882844,-33.69042578207558,✓ Good
smooth_alpha,0.36500138796674986,0.2526843171388329,-0.11231707082791698,0.3462686905227812,0.46096962760428134,0.11470093708150014,-30.771683212927563,✓ Good
